c_named,c,c * 2 (for comparison with Castonguay Fig 3.6),OOA p2,OOA p3
,5.00E-07,1.00E-06,3,3.97
,5.00E-06,1.00E-05,3,3.97
,5.00E-05,1.00E-04,3,3.97
,5.00E-04,1.00E-03,3,3.99
,5.00E-03,1.00E-02,3,3.98
,0.01,2.00E-02,3,3.91
,5.00E-02,1.00E-01,2.99,3.4
,0.1,2.00E-01,2.98,3.22
,5.00E-01,1.00E+00,2.72,3.03
,1,2.00E+00,2.46,3.01
,5,1.00E+01,2.09,2.99
,100,2.00E+02,1.97,2.98
c+,0.0915,1.83E-01,2.98,
c+,0.0018,3.60E-03,,4
cSD,0.00047619,9.52E-04,,3.99
cSD,0.014814815,2.96E-02,3,
cHu,0.033333333,6.67E-02,3,
cHu,0.000846561,1.69E-03,,4
